feature,importance
pitch_features.mean_pitch,0.02175188
melodic_movement_features.chromatic_motion,0.0073144436
corpus_features.max_log_df,0.0062274933
melodic_movement_features.stepwise_motion,0.0051292777
contour_features.step_contour_global_variation,0.004952073
tonality_features.proportion_scalar,0.0045134425
interval_features.average_interval_span_by_melodic_arcs,0.0044142604
interval_features.distance_between_most_prevalent_melodic_intervals,0.0041589737
mtype_features.honores_h,0.003814578
corpus_features.mean_log_df,0.0037169456
pitch_features.pitch_class_variability_after_folding,0.0035852194
narmour_features.registral_direction,0.0032324195
narmour_features.closure,0.0031878352
pitch_features.most_common_pitch,0.0030685663
interval_features.mean_absolute_interval,0.0027575493
pitch_features.pitch_range,0.002708733
tonality_features.proportion_conjunct_scalar,0.0023064017
narmour_features.registral_return,0.002293229
contour_features.interpolation_contour_global_direction,0.0022925138
pitch_features.pitch_class_skewness_after_folding,0.0021010637
interval_features.variable_melodic_intervals,0.0020303726
melodic_movement_features.amount_of_arpeggiation,0.00197649
pitch_features.pitch_entropy,0.001962304
pitch_features.dominant_spread,0.0019444227
tonality_features.tonal_spike,0.0019279718
narmour_features.proximity,0.0018059611
mtype_features.mean_productivity,0.0017885566
tonality_features.longest_conjunct_scalar_passage,0.0017756224
corpus_features.tfdf_spearman,0.0016897917
interval_features.prevalence_of_most_common_melodic_interval,0.0016750693
contour_features.step_contour_local_variation,0.0016707778
interval_features.interval_entropy,0.0016157627
pitch_features.pitch_class_kurtosis_after_folding,0.0015263557
pitch_features.number_of_pitches,0.0014135242
corpus_features.tfdf_kendall,0.0013713837
mtype_features.mean_entropy,0.0013329983
contour_features.interpolation_contour_mean_gradient,0.0013009906
contour_features.interpolation_contour_direction_changes,0.0012285113
tonality_features.tonal_clarity,0.0012241006
contour_features.interpolation_contour_gradient_std,0.001065135
corpus_features.mean_df_entropy,0.0010381937
corpus_features.mean_log_tfdf,0.0009537935
tonality_features.inscale,0.0009498596
narmour_features.intervallic_difference,0.0009241104
tonality_features.referent,0.000913918
interval_features.interval_direction_sd,0.00088500977
interval_features.interval_direction_mean,0.00082731247
corpus_features.min_log_df,0.000644505
melodic_movement_features.repeated_notes,0.00064361095
interval_features.absolute_interval_range,0.0006403923
interval_features.melodic_large_intervals,0.0005939603
corpus_features.mean_df_yules_k,0.0005645752
tonality_features.longest_monotonic_conjunct_scalar_passage,0.0005404353
tonality_features.temperley_likelihood,0.0004811287
pitch_features.pitch_standard_deviation,0.0004299879
contour_features.step_contour_global_direction,0.00035971403
interval_features.number_of_common_melodic_intervals,0.00033318996
mtype_features.yules_k,0.0003091693
mtype_features.simpsons_d,0.0002951622
mtype_features.sichels_s,0.00027287006
pitch_features.melodic_pitch_variety,0.00026655197
corpus_features.mean_df_simpsons_d,0.00026112795
tonality_features.tonal_entropy,0.00017124414
corpus_features.norm_log_dist,0.0001475811
tonality_features.tonalness,5.6147575e-05
interval_features.modal_interval,3.8266182e-05
