melody_id,pitch_features.pitch_range,pitch_features.pitch_standard_deviation,pitch_features.pitch_entropy,pitch_features.mean_pitch,pitch_features.most_common_pitch,pitch_features.number_of_pitches,pitch_features.melodic_pitch_variety,pitch_features.dominant_spread,pitch_features.folded_fifths_pitch_class_histogram,pitch_features.pitch_class_kurtosis_after_folding,pitch_features.pitch_class_skewness_after_folding,pitch_features.pitch_class_variability_after_folding,interval_features.pitch_interval,interval_features.absolute_interval_range,interval_features.mean_absolute_interval,interval_features.modal_interval,interval_features.interval_entropy,interval_features.ivdist1,interval_features.interval_direction,interval_features.average_interval_span_by_melodic_arcs,interval_features.distance_between_most_prevalent_melodic_intervals,interval_features.melodic_interval_histogram,interval_features.melodic_large_intervals,interval_features.variable_melodic_intervals,interval_features.number_of_common_melodic_intervals,interval_features.prevalence_of_most_common_melodic_interval,contour_features.step_contour_global_variation,contour_features.step_contour_global_direction,contour_features.step_contour_local_variation,contour_features.interpolation_contour_global_direction,contour_features.interpolation_contour_mean_gradient,contour_features.interpolation_contour_gradient_std,contour_features.interpolation_contour_direction_changes,contour_features.interpolation_contour_class_label,duration_features.duration_range,duration_features.modal_duration,duration_features.duration_entropy,duration_features.length,duration_features.global_duration,duration_features.note_density,duration_features.ioi,duration_features.ioi_ratio,duration_features.ioi_contour,tonality_features.tonalness,tonality_features.tonal_clarity,tonality_features.tonal_spike,tonality_features.referent,tonality_features.inscale,narmour_features.registral_direction,narmour_features.proximity,narmour_features.closure,narmour_features.registral_return,narmour_features.intervallic_difference,melodic_movement_features.amount_of_arpeggiation,melodic_movement_features.chromatic_motion,melodic_movement_features.melodic_embellishment,melodic_movement_features.repeated_notes,melodic_movement_features.stepwise_motion,mtype_features.yules_k,mtype_features.simpsons_d,mtype_features.sichels_s,mtype_features.honores_h,mtype_features.mean_entropy,mtype_features.mean_productivity,corpus_features.tfdf_spearman,corpus_features.tfdf_kendall,corpus_features.mean_log_tfdf,corpus_features.norm_log_dist,corpus_features.max_log_df,corpus_features.min_log_df,corpus_features.mean_log_df,corpus_features.mean_df_entropy,corpus_features.mean_df_productivity,corpus_features.mean_df_yules_k,corpus_features.mean_df_simpsons_d,corpus_features.mean_df_sichels_s,corpus_features.mean_df_honores_h
1,13.0,3.5935470286213844,3.266332639970623,68.55555555555556,69.0,11,3.1,1,"{0: 1.0, 2: 1.0, 9: 3.0, 4: 2.0, 11: 3.0, 6: 1.0, 1: 1.0, 3: 2.0, 10: 3.0, 5: 1.0}",-1.2438789497016534,0.3454079777722919,3.6455452267116364,"[0, 6, -6, -5, -2, 8, 0, 2, -2, -5, -2, 8, 0, 2, -2, -5, -2]",8.0,3.3529411764705883,-2.0,2.609850166028943,"{-6.0: 0.022988505747126436, -5.0: 0.1724137931034483, -2.0: 0.21839080459770116, 0.0: 0.1724137931034483, 2.0: 0.04597701149425287, 6.0: 0.022988505747126436, 8.0: 0.3448275862068966}","['same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down']",9.6,2,"{'-6.00--5.00': 1, '-5.00--4.00': 3, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 5, '-1.00-0.00': 0, '0.00-1.00': 3, '1.00-2.00': 0, '2.00-3.00': 2, '3.00-4.00': 0, '4.00-5.00': 0, '5.00-6.00': 0, '6.00-7.00': 1, '7.00-8.00': 2}",0.0,0.0,5,0.29411764705882354,3.7898597743683076,-0.14205579753502343,0.9047619047619048,-1,8.141176470588237,5.362006621887877,0.2,eaaa,1.25,0.5,1.4591479170272448,18,3.5,5.142857142857143,"[0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5]","[0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0]","[-1, 0, 1, 0, -1, -1, -1, 0, 1, 0, -1, -1, -1, 0, 1, 0]",0.3654147353809515,1.1033492822966504,0.0876512167782011,9,0,1.0,4.0,1.0,0.0,1.0,0.17647058823529413,0.0,0.0,0.17647058823529413,0.4117647058823529,50.33498080604791,0.05377612583494937,0.48611111111111105,522.1136236514965,0.8099472619446532,0.297093837535014,0.6901583044440349,0.5836997123836335,0.9695618785224345,0.1185330896284243,8.499232866039245,0.6931471805599453,3.5220073438257944,2.915055133972013,0.675,40.0,0.044444444444444446,0.1607142857142857,882.6576189810509
2,14.0,3.654863156310783,3.086048612313038,68.55555555555556,71.0,10,5.0,1,"{2: 1.0, 9: 3.0, 4: 3.0, 11: 4.0, 6: 1.0, 1: 1.0, 3: 1.0, 10: 3.0, 5: 1.0}",-1.4036348267117498,0.3268769013470097,3.39934634239519,"[0, 2, -2, -5, -2, 8, 0, 6, -6, -5, -2, 8, 0, 2, -2, -5, -2]",8.0,3.3529411764705883,-2.0,2.609850166028943,"{-6.0: 0.022988505747126436, -5.0: 0.1724137931034483, -2.0: 0.21839080459770116, 0.0: 0.1724137931034483, 2.0: 0.04597701149425287, 6.0: 0.022988505747126436, 8.0: 0.3448275862068966}","['same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down']",9.6,2,"{'-6.00--5.00': 1, '-5.00--4.00': 3, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 5, '-1.00-0.00': 0, '0.00-1.00': 3, '1.00-2.00': 0, '2.00-3.00': 2, '3.00-4.00': 0, '4.00-5.00': 0, '5.00-6.00': 0, '6.00-7.00': 1, '7.00-8.00': 2}",0.0,0.0,5,0.29411764705882354,3.822700237969883,-0.10366282682670933,0.9047619047619048,-1,8.078431372549021,4.04653065000551,0.2,daaa,1.25,0.5,1.4591479170272448,18,3.5,5.142857142857143,"[0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5]","[0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0]","[-1, 0, 1, 0, -1, -1, -1, 0, 1, 0, -1, -1, -1, 0, 1, 0]",0.5732680648075037,1.1992696922274393,0.10550761990225303,4,0,1.0,4.0,1.0,0.0,1.0,0.17647058823529413,0.0,0.0,0.17647058823529413,0.4117647058823529,43.01071776749915,0.04590066795949149,0.3936868686868687,803.807081263498,0.8372398771790657,0.4018557422969188,0.7410414793326121,0.6269274504355096,0.9605765391364477,0.11004444881400835,8.499232866039245,0.6931471805599453,3.3199459035925196,2.881971344596657,0.6178030303030303,53.646694214876035,0.058838383838383836,0.15625,810.0633680121058
3,15.0,3.7151674438445528,3.086048612313038,68.55555555555556,71.0,10,5.0,1,"{0: 1.0, 2: 1.0, 9: 3.0, 4: 2.0, 11: 4.0, 6: 1.0, 3: 1.0, 10: 3.0, 5: 2.0}",-1.1936981851136512,0.15814191436761768,3.5624932315291997,"[0, 2, -2, -5, -2, 8, 0, 2, -2, -5, -2, 8, 0, 6, -6, -5, -2]",8.0,3.3529411764705883,-2.0,2.609850166028943,"{-6.0: 0.022988505747126436, -5.0: 0.1724137931034483, -2.0: 0.21839080459770116, 0.0: 0.1724137931034483, 2.0: 0.04597701149425287, 6.0: 0.022988505747126436, 8.0: 0.3448275862068966}","['same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down']",8.8,2,"{'-6.00--5.00': 1, '-5.00--4.00': 3, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 5, '-1.00-0.00': 0, '0.00-1.00': 3, '1.00-2.00': 0, '2.00-3.00': 2, '3.00-4.00': 0, '4.00-5.00': 0, '5.00-6.00': 0, '6.00-7.00': 1, '7.00-8.00': 2}",0.0,0.0,5,0.29411764705882354,3.716221566911074,-0.0825068691569427,0.9047619047619048,-1,8.07843137254902,4.046530650005509,0.2,daaa,1.25,0.5,1.4591479170272448,18,3.5,5.142857142857143,"[0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5]","[0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0]","[-1, 0, 1, 0, -1, -1, -1, 0, 1, 0, -1, -1, -1, 0, 1, 0]",0.34089359584222184,1.055013309671695,0.07482688804320557,9,0,1.0,4.0,1.0,0.0,1.0,0.17647058823529413,0.0,0.0,0.17647058823529413,0.4117647058823529,50.33498080604791,0.05377612583494937,0.48611111111111105,522.1136236514965,0.8099472619446532,0.297093837535014,0.6647473842041186,0.5616038242176915,0.9620695054202789,0.11858835045954723,8.499232866039245,0.0,3.4153693160473413,2.915055133972013,0.675,40.0,0.044444444444444446,0.1607142857142857,882.6576189810509
4,11.0,3.353641838397015,3.03856233607563,68.44444444444444,71.0,10,6.133333333333334,1,"{0: 1.0, 2: 1.0, 9: 2.0, 4: 2.0, 11: 5.0, 6: 1.0, 1: 1.0, 3: 1.0, 10: 3.0, 5: 1.0}",-1.2438789497016534,0.3454079777722919,3.6455452267116364,"[0, 2, 0, -7, -2, 8, 0, 2, -2, -5, -2, 8, 0, 2, -2, -5, -2]",8.0,2.8823529411764706,-2.0,2.41896119556797,"{-7.0: 0.05747126436781609, -5.0: 0.11494252873563218, -2.0: 0.21839080459770116, 0.0: 0.1954022988505747, 2.0: 0.06896551724137931, 8.0: 0.3448275862068966}","['same', 'up', 'same', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down']",8.0,2,"{'-7.00--6.00': 1, '-6.00--5.00': 0, '-5.00--4.00': 2, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 5, '-1.00-0.00': 0, '0.00-1.00': 4, '1.00-2.00': 0, '2.00-3.00': 3, '3.00-4.00': 0, '4.00-5.00': 0, '5.00-6.00': 0, '6.00-7.00': 0, '7.00-8.00': 2}",0.0,0.0,5,0.29411764705882354,3.66062105173084,-0.13158992865384547,0.7777777777777778,-1,6.9490196078431365,3.327177224332785,0.2,daaa,1.25,0.5,1.4591479170272448,18,3.5,5.142857142857143,"[0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5]","[0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0]","[-1, 0, 1, 0, -1, -1, -1, 0, 1, 0, -1, -1, -1, 0, 1, 0]",0.5283840927912569,1.0085982927597934,0.11695607055235992,11,0,1.0,4.0,1.0,0.0,1.0,0.29411764705882354,0.0,0.0,0.23529411764705882,0.47058823529411764,47.51486317566242,0.05073125404007757,0.3702020202020202,672.9669763879394,0.8249107573366969,0.3817664565826331,0.6646676953443502,0.5630870366204374,0.9644865113092946,0.1088030775809062,8.499232866039245,0.6931471805599453,3.436583795764323,2.950184196939092,0.6772727272727272,42.190082644628106,0.04646464646464646,0.12152777777777778,1183.6762228623231
5,11.0,3.3866112564729263,3.127986806877675,68.44444444444444,71.0,10,5.083333333333333,1,"{0: 2.0, 2: 1.0, 9: 3.0, 4: 2.0, 11: 4.0, 6: 1.0, 1: 1.0, 3: 1.0, 10: 2.0, 5: 1.0}",-1.2438789497016534,0.3454079777722919,3.6455452267116364,"[0, 2, -2, -5, -2, 8, 0, 2, 0, -7, -2, 8, 0, 2, -2, -5, -2]",8.0,2.8823529411764706,-2.0,2.41896119556797,"{-7.0: 0.05747126436781609, -5.0: 0.11494252873563218, -2.0: 0.21839080459770116, 0.0: 0.1954022988505747, 2.0: 0.06896551724137931, 8.0: 0.3448275862068966}","['same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'same', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down']",8.0,2,"{'-7.00--6.00': 1, '-6.00--5.00': 0, '-5.00--4.00': 2, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 5, '-1.00-0.00': 0, '0.00-1.00': 4, '1.00-2.00': 0, '2.00-3.00': 3, '3.00-4.00': 0, '4.00-5.00': 0, '5.00-6.00': 0, '6.00-7.00': 0, '7.00-8.00': 2}",0.0,0.0,5,0.29411764705882354,3.6861424937697405,-0.1017665848916672,0.7777777777777778,-1,6.9490196078431365,3.327177224332785,0.2,daaa,1.25,0.5,1.4591479170272448,18,3.5,5.142857142857143,"[0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5]","[0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0]","[-1, 0, 1, 0, -1, -1, -1, 0, 1, 0, -1, -1, -1, 0, 1, 0]",0.46884984105187666,1.0729906039708559,0.09532490737469541,9,0,1.0,4.0,1.0,0.0,1.0,0.29411764705882354,0.0,0.0,0.23529411764705882,0.47058823529411764,44.96384276749915,0.047984001292824825,0.3436868686868687,826.911987282163,0.8342910978737396,0.4174807422969188,0.6875130909750157,0.5830115828115118,0.9617529237409816,0.10620519759627989,8.499232866039245,0.6931471805599453,3.3712638763546954,2.931971344596657,0.6678030303030302,48.646694214876035,0.05328282828282828,0.12152777777777778,1193.8275501777798
6,11.0,3.4192627896509147,3.155221528859512,68.44444444444444,69.0,10,4.363636363636363,1,"{0: 1.0, 2: 1.0, 9: 3.0, 4: 2.0, 11: 3.0, 6: 1.0, 1: 2.0, 3: 1.0, 10: 3.0, 5: 1.0}",-1.2438789497016534,0.3454079777722919,3.6455452267116364,"[0, 2, -2, -5, -2, 8, 0, 2, -2, -5, -2, 8, 0, 2, 0, -7, -2]",8.0,2.8823529411764706,-2.0,2.41896119556797,"{-7.0: 0.05747126436781609, -5.0: 0.11494252873563218, -2.0: 0.21839080459770116, 0.0: 0.1954022988505747, 2.0: 0.06896551724137931, 8.0: 0.3448275862068966}","['same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'same', 'down', 'down']",8.0,2,"{'-7.00--6.00': 1, '-6.00--5.00': 0, '-5.00--4.00': 2, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 5, '-1.00-0.00': 0, '0.00-1.00': 4, '1.00-2.00': 0, '2.00-3.00': 3, '3.00-4.00': 0, '4.00-5.00': 0, '5.00-6.00': 0, '6.00-7.00': 0, '7.00-8.00': 2}",0.0,0.0,5,0.29411764705882354,3.7114884459438913,-0.07235679348468971,0.7777777777777778,-1,6.9490196078431365,3.327177224332785,0.2,daaa,1.25,0.5,1.4591479170272448,18,3.5,5.142857142857143,"[0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5]","[0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0]","[-1, 0, 1, 0, -1, -1, -1, 0, 1, 0, -1, -1, -1, 0, 1, 0]",0.4833109032575465,1.2697751873438798,0.09890536688989526,9,0,0.0,4.0,1.0,0.0,1.0,0.29411764705882354,0.0,0.0,0.23529411764705882,0.47058823529411764,59.0144734364334,0.06307099762982116,0.5555555555555556,430.5270398601193,0.7812737079419572,0.21242121848739495,0.6034285418814488,0.5158285329207887,0.9709455451355693,0.124072833156251,8.499232866039245,0.0,3.6100314065418138,2.871178126382216,0.7499999999999999,37.03703703703704,0.041666666666666664,0.10267857142857142,1354.9551560240018
7,12.0,3.5,3.266332639970623,68.5,69.0,11,3.1,1,"{0: 1.0, 2: 2.0, 9: 3.0, 4: 2.0, 11: 3.0, 6: 1.0, 1: 1.0, 3: 1.0, 10: 3.0, 5: 1.0}",-1.2438789497016534,0.3454079777722919,3.6455452267116364,"[0, 5, -5, -5, -2, 8, 0, 2, -2, -5, -2, 8, 0, 2, -2, -5, -2]",8.0,3.235294117647059,-2.0,2.41896119556797,"{-5.0: 0.1954022988505747, -2.0: 0.21839080459770116, 0.0: 0.1724137931034483, 2.0: 0.04597701149425287, 5.0: 0.022988505747126436, 8.0: 0.3448275862068966}","['same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down']",9.2,3,"{'-5.00--4.00': 4, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 5, '-1.00-0.00': 0, '0.00-1.00': 3, '1.00-2.00': 0, '2.00-3.00': 2, '3.00-4.00': 0, '4.00-5.00': 0, '5.00-6.00': 1, '6.00-7.00': 0, '7.00-8.00': 2}",0.0,0.0,5,0.29411764705882354,3.72409673402491,-0.132753890726721,0.873015873015873,-1,7.843137254901963,4.832278552421656,0.2,eaaa,1.25,0.5,1.4591479170272448,18,3.5,5.142857142857143,"[0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5]","[0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0]","[-1, 0, 1, 0, -1, -1, -1, 0, 1, 0, -1, -1, -1, 0, 1, 0]",0.4649292426746365,1.1838995100498388,0.08954503067903383,9,0,1.0,4.0,1.0,0.0,1.0,0.17647058823529413,0.0,0.0,0.17647058823529413,0.4117647058823529,50.33498080604791,0.05377612583494937,0.48611111111111105,522.1136236514965,0.8099472619446532,0.297093837535014,0.6772115923178376,0.5718457837093913,0.9705847571143942,0.11745550342152776,8.499232866039245,0.6931471805599453,3.60719521448696,2.9650551339720135,0.725,35.0,0.03888888888888889,0.1259920634920635,1266.4218011467249
8,13.0,3.547299442298794,3.086048612313038,68.5,71.0,10,5.0,1,"{2: 1.0, 9: 3.0, 4: 2.0, 11: 4.0, 6: 1.0, 1: 1.0, 3: 2.0, 10: 3.0, 5: 1.0}",-1.4036348267117498,0.3268769013470097,3.39934634239519,"[0, 2, -2, -5, -2, 8, 0, 5, -5, -5, -2, 8, 0, 2, -2, -5, -2]",8.0,3.235294117647059,-2.0,2.41896119556797,"{-5.0: 0.1954022988505747, -2.0: 0.21839080459770116, 0.0: 0.1724137931034483, 2.0: 0.04597701149425287, 5.0: 0.022988505747126436, 8.0: 0.3448275862068966}","['same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down']",9.2,3,"{'-5.00--4.00': 4, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 5, '-1.00-0.00': 0, '0.00-1.00': 3, '1.00-2.00': 0, '2.00-3.00': 2, '3.00-4.00': 0, '4.00-5.00': 0, '5.00-6.00': 1, '6.00-7.00': 0, '7.00-8.00': 2}",0.0,0.0,5,0.29411764705882354,3.749186109594321,-0.10343941045791903,0.873015873015873,-1,7.796078431372551,3.8214281162318193,0.2,daaa,1.25,0.5,1.4591479170272448,18,3.5,5.142857142857143,"[0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5]","[0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0]","[-1, 0, 1, 0, -1, -1, -1, 0, 1, 0, -1, -1, -1, 0, 1, 0]",0.45535639814486445,1.0822429906542053,0.09152663306150974,11,0,1.0,4.0,1.0,0.0,1.0,0.17647058823529413,0.0,0.0,0.17647058823529413,0.4117647058823529,43.01071776749915,0.04590066795949149,0.3936868686868687,803.807081263498,0.8372398771790657,0.4018557422969188,0.7370958740348074,0.6229171432350471,0.9615994177284074,0.10904383305046156,8.499232866039245,0.6931471805599453,3.3990489263493155,2.931971344596657,0.6678030303030302,48.646694214876035,0.05328282828282828,0.12152777777777778,1193.8275501777798
9,14.0,3.593976442141304,3.086048612313038,68.5,71.0,10,5.0,1,"{0: 1.0, 2: 1.0, 9: 3.0, 4: 3.0, 11: 4.0, 6: 1.0, 3: 1.0, 10: 3.0, 5: 1.0}",-1.1936981851136512,0.15814191436761768,3.5624932315291997,"[0, 2, -2, -5, -2, 8, 0, 2, -2, -5, -2, 8, 0, 5, -5, -5, -2]",8.0,3.235294117647059,-2.0,2.41896119556797,"{-5.0: 0.1954022988505747, -2.0: 0.21839080459770116, 0.0: 0.1724137931034483, 2.0: 0.04597701149425287, 5.0: 0.022988505747126436, 8.0: 0.3448275862068966}","['same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down']",8.6,3,"{'-5.00--4.00': 4, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 5, '-1.00-0.00': 0, '0.00-1.00': 3, '1.00-2.00': 0, '2.00-3.00': 2, '3.00-4.00': 0, '4.00-5.00': 0, '5.00-6.00': 1, '6.00-7.00': 0, '7.00-8.00': 2}",0.0,0.0,5,0.29411764705882354,3.674101718447653,-0.08725126460545729,0.873015873015873,-1,7.796078431372551,3.821428116231818,0.2,daaa,1.25,0.5,1.4591479170272448,18,3.5,5.142857142857143,"[0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5]","[0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0]","[-1, 0, 1, 0, -1, -1, -1, 0, 1, 0, -1, -1, -1, 0, 1, 0]",0.509931793184578,1.357000663570007,0.10484577217876423,4,0,1.0,4.0,1.0,0.0,1.0,0.17647058823529413,0.0,0.0,0.17647058823529413,0.4117647058823529,50.33498080604791,0.05377612583494937,0.48611111111111105,522.1136236514965,0.8099472619446532,0.297093837535014,0.6475760761549043,0.5461035297803513,0.9630923840122386,0.11751076425265068,8.499232866039245,0.0,3.500557186708506,2.9650551339720135,0.725,35.0,0.03888888888888889,0.1259920634920635,1266.4218011467249
10,11.0,3.35226107589902,3.155221528859512,68.38888888888889,69.0,10,3.3636363636363638,1,"{0: 2.0, 2: 1.0, 9: 3.0, 4: 2.0, 11: 3.0, 6: 1.0, 1: 1.0, 3: 1.0, 10: 3.0, 5: 1.0}",-1.2438789497016534,0.3454079777722919,3.6455452267116364,"[0, 3, -3, -5, -2, 8, 0, 2, -2, -5, -2, 8, 0, 2, -2, -5, -2]",8.0,3.0,-2.0,2.609850166028943,"{-5.0: 0.1724137931034483, -3.0: 0.022988505747126436, -2.0: 0.21839080459770116, 0.0: 0.1724137931034483, 2.0: 0.04597701149425287, 3.0: 0.022988505747126436, 8.0: 0.3448275862068966}","['same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down', 'up', 'same', 'up', 'down', 'down', 'down']",8.4,2,"{'-5.00--4.00': 3, '-4.00--3.00': 0, '-3.00--2.00': 1, '-2.00--1.00': 5, '-1.00-0.00': 0, '0.00-1.00': 3, '1.00-2.00': 0, '2.00-3.00': 2, '3.00-4.00': 1, '4.00-5.00': 0, '5.00-6.00': 0, '6.00-7.00': 0, '7.00-8.00': 2}",0.0,0.0,5,0.29411764705882354,3.6141742984221166,-0.11245220996765247,0.8095238095238095,-1,7.247058823529412,3.809253554526006,0.25,daaa,1.25,0.5,1.4591479170272448,18,3.5,5.142857142857143,"[0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5, -2.0, 0.5, 0.25, 0.25, 0.5, 0.5]","[0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0, -4.0, -0.25, 0.5, 1.0, 2.0, 1.0]","[-1, 0, 1, 0, -1, -1, -1, 0, 1, 0, -1, -1, -1, 0, 1, 0]",0.4453949000231217,1.2604151753803803,0.11032066490164752,9,0,1.0,4.0,1.0,0.0,1.0,0.29411764705882354,0.0,0.0,0.17647058823529413,0.4117647058823529,50.33498080604791,0.05377612583494937,0.48611111111111105,522.1136236514965,0.8099472619446532,0.297093837535014,0.5451469764154916,0.45990755619933876,0.9679336050724713,0.12224554941339931,8.499232866039245,0.6931471805599453,3.8338897206783837,2.9650551339720135,0.725,35.0,0.03888888888888889,0.1259920634920635,1266.4218011467249
