melody_id,pitch_features.pitch_range,pitch_features.pitch_standard_deviation,pitch_features.pitch_entropy,pitch_features.pcdist1,pitch_features.basic_pitch_histogram,pitch_features.mean_pitch,pitch_features.most_common_pitch,pitch_features.number_of_pitches,pitch_features.melodic_pitch_variety,pitch_features.dominant_spread,pitch_features.folded_fifths_pitch_class_histogram,pitch_features.pitch_class_kurtosis_after_folding,pitch_features.pitch_class_skewness_after_folding,pitch_features.pitch_class_variability_after_folding,interval_features.pitch_interval,interval_features.absolute_interval_range,interval_features.mean_absolute_interval,interval_features.modal_interval,interval_features.interval_entropy,interval_features.ivdist1,interval_features.interval_direction_mean,interval_features.interval_direction_sd,interval_features.average_interval_span_by_melodic_arcs,interval_features.distance_between_most_prevalent_melodic_intervals,interval_features.melodic_interval_histogram,interval_features.melodic_large_intervals,interval_features.variable_melodic_intervals,interval_features.number_of_common_melodic_intervals,interval_features.prevalence_of_most_common_melodic_interval,contour_features.step_contour_global_variation,contour_features.step_contour_global_direction,contour_features.step_contour_local_variation,contour_features.interpolation_contour_global_direction,contour_features.interpolation_contour_mean_gradient,contour_features.interpolation_contour_gradient_std,contour_features.interpolation_contour_direction_changes,contour_features.interpolation_contour_class_label,duration_features.tempo,duration_features.duration_range,duration_features.modal_duration,duration_features.mean_duration,duration_features.duration_standard_deviation,duration_features.number_of_durations,duration_features.global_duration,duration_features.note_density,duration_features.duration_entropy,duration_features.length,duration_features.ioi_mean,duration_features.ioi_std,duration_features.ioi_ratio_mean,duration_features.ioi_ratio_std,duration_features.ioi_contour_mean,duration_features.ioi_contour_std,duration_features.ioi_range,duration_features.ioi_histogram,duration_features.duration_histogram,tonality_features.tonalness,tonality_features.tonal_clarity,tonality_features.tonal_spike,tonality_features.tonal_entropy,tonality_features.referent,tonality_features.inscale,tonality_features.temperley_likelihood,tonality_features.longest_monotonic_conjunct_scalar_passage,tonality_features.longest_conjunct_scalar_passage,tonality_features.proportion_conjunct_scalar,tonality_features.proportion_scalar,tonality_features.tonalness_histogram,narmour_features.registral_direction,narmour_features.proximity,narmour_features.closure,narmour_features.registral_return,narmour_features.intervallic_difference,melodic_movement_features.amount_of_arpeggiation,melodic_movement_features.chromatic_motion,melodic_movement_features.melodic_embellishment,melodic_movement_features.repeated_notes,melodic_movement_features.stepwise_motion,mtype_features.yules_k,mtype_features.simpsons_d,mtype_features.sichels_s,mtype_features.honores_h,mtype_features.mean_entropy,mtype_features.mean_productivity,corpus_features.tfdf_spearman,corpus_features.tfdf_kendall,corpus_features.mean_log_tfdf,corpus_features.norm_log_dist,corpus_features.max_log_df,corpus_features.min_log_df,corpus_features.mean_log_df,corpus_features.mean_df_entropy,corpus_features.mean_df_productivity,corpus_features.mean_df_yules_k,corpus_features.mean_df_simpsons_d,corpus_features.mean_df_sichels_s,corpus_features.mean_df_honores_h
1,13,4.163331998932265,1.7924812503605778,"{2.0: 0.4411764705882353, 3.0: 0.058823529411764705, 4.0: 0.14705882352941177, 9.0: 0.3529411764705882}","{'62.00-65.25': 2, '65.25-68.50': 0, '68.50-71.75': 3, '71.75-75.00': 1}",68.0,69,4,2.0,1,"{2: 1.0, 9: 3.0, 4: 1.0, 3: 1.0}",2.7039239001189053,1.5970779829307837,2.692582403567252,"[0, 6, -6, -5, -2]",6,3.8,-6,2.321928094887362,"{-6.0: 0.10526315789473684, -5.0: 0.2631578947368421, -2.0: 0.2631578947368421, 0.0: 0.2631578947368421, 6.0: 0.10526315789473684}",-0.4,0.7999999999999999,6.0,6.0,"{'-6.00--5.00': 1, '-5.00--4.00': 1, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 1, '-1.00-0.00': 0, '0.00-1.00': 1, '1.00-2.00': 0, '2.00-3.00': 0, '3.00-4.00': 0, '4.00-5.00': 0, '5.00-6.00': 1}",0.0,0.0,5,0.2,4.103637867794867,-0.8211717436501202,0.30158730158730157,-1,9.440000000000001,9.248294295080637,1.0,eeaa,100,1.25,0.5,0.5833333333333334,0.42491829279939874,3,3.5,1.7142857142857142,1.4591479170272448,6,0.4,0.1224744871391589,1.125,0.5448623679425842,0.0,0.7071067811865476,0.25,"{'0.25-0.38': 2, '0.38-0.50': 3}","{'0.25-0.67': 5, '0.67-1.08': 0, '1.08-1.50': 1}",0.758365260585492,1.2048179591286061,0.13495600608204955,4.584962500721156,9,0,2.5586291762391263e-08,2,2,0.3333333333333333,0.3333333333333333,"{'0.26-0.30': 0, '0.30-0.34': 0, '0.34-0.38': 0, '0.38-0.43': 0, '0.43-0.47': 0, '0.47-0.51': 0, '0.51-0.55': 0, '0.55-0.59': 0, '0.59-0.63': 0, '0.63-0.68': 0, '0.68-0.72': 0, '0.72-0.76': 0, '0.76-0.80': 1, '0.80-0.84': 0, '0.84-0.88': 0, '0.88-0.93': 0, '0.93-0.97': 0, '0.97-1.01': 0, '1.01-1.05': 0, '1.05-1.09': 0, '1.09-1.13': 0, '1.13-1.18': 0, '1.18-1.22': 0, '1.22-1.26': 0}",1.0,4.0,1.0,0.0,1.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1.0,1.0,nan,nan,0.9874302682020195,0.26293796837603484,6.063785208687608,1.3862943611198906,2.8648852079363545,1.575850273272685,0.0,285.82819355232004,0.31235348213729036,0.0,0.0
2,13,4.163331998932265,1.7924812503605778,"{3.0: 0.4411764705882353, 4.0: 0.058823529411764705, 5.0: 0.14705882352941177, 10.0: 0.3529411764705882}","{'63.00-66.25': 2, '66.25-69.50': 0, '69.50-72.75': 3, '72.75-76.00': 1}",69.0,70,4,2.0,1,"{4: 1.0, 3: 1.0, 10: 3.0, 5: 1.0}",2.7039239001189053,1.5970779829307837,2.692582403567252,"[0, 6, -6, -5, -2]",6,3.8,-6,2.321928094887362,"{-6.0: 0.10526315789473684, -5.0: 0.2631578947368421, -2.0: 0.2631578947368421, 0.0: 0.2631578947368421, 6.0: 0.10526315789473684}",-0.4,0.7999999999999999,6.0,6.0,"{'-6.00--5.00': 1, '-5.00--4.00': 1, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 1, '-1.00-0.00': 0, '0.00-1.00': 1, '1.00-2.00': 0, '2.00-3.00': 0, '3.00-4.00': 0, '4.00-5.00': 0, '5.00-6.00': 1}",0.0,0.0,5,0.2,4.103637867794867,-0.8211717436501202,0.30158730158730157,-1,9.440000000000001,9.248294295080637,1.0,eeaa,100,1.25,0.5,0.5833333333333334,0.42491829279939874,3,3.5,1.7142857142857142,1.4591479170272448,6,0.4,0.1224744871391589,1.125,0.5448623679425842,0.0,0.7071067811865476,0.25,"{'0.25-0.38': 2, '0.38-0.50': 3}","{'0.25-0.67': 5, '0.67-1.08': 0, '1.08-1.50': 1}",0.7583652605854919,1.204817959128606,0.13495600608204952,4.584962500721156,10,0,6.742380893923927e-11,2,2,0.3333333333333333,0.3333333333333333,"{'0.26-0.30': 0, '0.30-0.34': 0, '0.34-0.38': 0, '0.38-0.43': 0, '0.43-0.47': 0, '0.47-0.51': 0, '0.51-0.55': 0, '0.55-0.59': 0, '0.59-0.63': 0, '0.63-0.68': 0, '0.68-0.72': 0, '0.72-0.76': 0, '0.76-0.80': 1, '0.80-0.84': 0, '0.84-0.88': 0, '0.88-0.93': 0, '0.93-0.97': 0, '0.97-1.01': 0, '1.01-1.05': 0, '1.05-1.09': 0, '1.09-1.13': 0, '1.13-1.18': 0, '1.18-1.22': 0, '1.22-1.26': 0}",1.0,4.0,1.0,0.0,1.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1.0,1.0,nan,nan,0.9874302682020195,0.26293796837603484,6.063785208687608,1.3862943611198906,2.8648852079363545,1.575850273272685,0.0,285.82819355232004,0.31235348213729036,0.0,0.0
3,13,4.163331998932265,1.7924812503605778,"{4.0: 0.4411764705882353, 5.0: 0.058823529411764705, 6.0: 0.14705882352941177, 11.0: 0.3529411764705882}","{'64.00-67.25': 2, '67.25-70.50': 0, '70.50-73.75': 3, '73.75-77.00': 1}",70.0,71,4,2.0,1,"{4: 1.0, 11: 3.0, 6: 1.0, 5: 1.0}",2.7039239001189053,1.5970779829307837,2.692582403567252,"[0, 6, -6, -5, -2]",6,3.8,-6,2.321928094887362,"{-6.0: 0.10526315789473684, -5.0: 0.2631578947368421, -2.0: 0.2631578947368421, 0.0: 0.2631578947368421, 6.0: 0.10526315789473684}",-0.4,0.7999999999999999,6.0,6.0,"{'-6.00--5.00': 1, '-5.00--4.00': 1, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 1, '-1.00-0.00': 0, '0.00-1.00': 1, '1.00-2.00': 0, '2.00-3.00': 0, '3.00-4.00': 0, '4.00-5.00': 0, '5.00-6.00': 1}",0.0,0.0,5,0.2,4.103637867794867,-0.8211717436501202,0.30158730158730157,-1,9.440000000000001,9.248294295080637,1.0,eeaa,100,1.25,0.5,0.5833333333333334,0.42491829279939874,3,3.5,1.7142857142857142,1.4591479170272448,6,0.4,0.1224744871391589,1.125,0.5448623679425842,0.0,0.7071067811865476,0.25,"{'0.25-0.38': 2, '0.38-0.50': 3}","{'0.25-0.67': 5, '0.67-1.08': 0, '1.08-1.50': 1}",0.7583652605854918,1.2048179591286057,0.1349560060820495,4.584962500721156,11,0,8.202624700607396e-09,2,2,0.3333333333333333,0.3333333333333333,"{'0.26-0.30': 0, '0.30-0.34': 0, '0.34-0.38': 0, '0.38-0.43': 0, '0.43-0.47': 0, '0.47-0.51': 0, '0.51-0.55': 0, '0.55-0.59': 0, '0.59-0.63': 0, '0.63-0.68': 0, '0.68-0.72': 0, '0.72-0.76': 0, '0.76-0.80': 1, '0.80-0.84': 0, '0.84-0.88': 0, '0.88-0.93': 0, '0.93-0.97': 0, '0.97-1.01': 0, '1.01-1.05': 0, '1.05-1.09': 0, '1.09-1.13': 0, '1.13-1.18': 0, '1.18-1.22': 0, '1.22-1.26': 0}",1.0,4.0,1.0,0.0,1.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1.0,1.0,nan,nan,0.9874302682020195,0.26293796837603484,6.063785208687608,1.3862943611198906,2.8648852079363545,1.575850273272685,0.0,285.82819355232004,0.31235348213729036,0.0,0.0
4,9,3.4480268109295333,1.9182958340544896,"{2.0: 0.4411764705882353, 4.0: 0.14705882352941177, 9.0: 0.20588235294117646, 11.0: 0.20588235294117646}","{'62.00-64.25': 2, '64.25-66.50': 0, '66.50-68.75': 0, '68.75-71.00': 4}",67.66666666666667,69,4,1.0,0,"{2: 1.0, 9: 2.0, 4: 1.0, 11: 2.0}",-3.906728373086507,0.0,3.640054944640259,"[0, 2, 0, -7, -2]",7,2.2,0,1.9219280948873623,"{-7.0: 0.2631578947368421, -2.0: 0.2631578947368421, 0.0: 0.3684210526315789, 2.0: 0.10526315789473684}",-0.2,0.7483314773547883,2.0,2.0,"{'-7.00--6.00': 1, '-6.00--5.00': 0, '-5.00--4.00': 0, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 1, '-1.00-0.00': 0, '0.00-1.00': 2, '1.00-2.00': 1}",0.0,0.2,4,0.4,3.834338070319309,-0.8442124577757193,0.1746031746031746,-1,5.386666666666668,4.959230274173675,1.0,ddaa,100,1.25,0.5,0.5833333333333334,0.42491829279939874,3,3.5,1.7142857142857142,1.4591479170272448,6,0.4,0.1224744871391589,1.125,0.5448623679425842,0.0,0.7071067811865476,0.25,"{'0.25-0.38': 2, '0.38-0.50': 3}","{'0.25-0.67': 5, '0.67-1.08': 0, '1.08-1.50': 1}",0.6949210213556694,1.2125094197437831,0.08482275491584218,4.584962500721156,9,1,5.154676869746389e-06,2,2,0.3333333333333333,0.3333333333333333,"{'0.19-0.24': 0, '0.24-0.28': 0, '0.28-0.32': 0, '0.32-0.36': 0, '0.36-0.40': 0, '0.40-0.44': 0, '0.44-0.49': 0, '0.49-0.53': 0, '0.53-0.57': 0, '0.57-0.61': 0, '0.61-0.65': 0, '0.65-0.69': 0, '0.69-0.74': 1, '0.74-0.78': 0, '0.78-0.82': 0, '0.82-0.86': 0, '0.86-0.90': 0, '0.90-0.94': 0, '0.94-0.99': 0, '0.99-1.03': 0, '1.03-1.07': 0, '1.07-1.11': 0, '1.11-1.15': 0, '1.15-1.19': 0}",0.0,4.0,1.0,0.0,1.0,0.6,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,1.0,1.0,nan,nan,0.9623477426642331,0.2620277003962805,7.249925536717988,1.3862943611198906,3.1916305154261138,1.2333385692845686,0.0,436.20476576022196,0.4616171824821088,0.0,0.0
5,9,3.4480268109295333,1.9182958340544896,"{0.0: 0.20588235294117646, 3.0: 0.4411764705882353, 5.0: 0.14705882352941177, 10.0: 0.20588235294117646}","{'63.00-65.25': 2, '65.25-67.50': 0, '67.50-69.75': 0, '69.75-72.00': 4}",68.66666666666667,70,4,1.0,0,"{0: 2.0, 3: 1.0, 10: 2.0, 5: 1.0}",0.7070131719473114,0.6464118585476193,3.640054944640259,"[0, 2, 0, -7, -2]",7,2.2,0,1.9219280948873623,"{-7.0: 0.2631578947368421, -2.0: 0.2631578947368421, 0.0: 0.3684210526315789, 2.0: 0.10526315789473684}",-0.2,0.7483314773547883,2.0,2.0,"{'-7.00--6.00': 1, '-6.00--5.00': 0, '-5.00--4.00': 0, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 1, '-1.00-0.00': 0, '0.00-1.00': 2, '1.00-2.00': 1}",0.0,0.2,4,0.4,3.834338070319309,-0.8442124577757193,0.1746031746031746,-1,5.386666666666668,4.959230274173675,1.0,ddaa,100,1.25,0.5,0.5833333333333334,0.42491829279939874,3,3.5,1.7142857142857142,1.4591479170272448,6,0.4,0.1224744871391589,1.125,0.5448623679425842,0.0,0.7071067811865476,0.25,"{'0.25-0.38': 2, '0.38-0.50': 3}","{'0.25-0.67': 5, '0.67-1.08': 0, '1.08-1.50': 1}",0.6949210213556695,1.212509419743783,0.0848227549158422,4.584962500721156,10,1,9.155774088050236e-09,2,2,0.3333333333333333,0.3333333333333333,"{'0.19-0.24': 0, '0.24-0.28': 0, '0.28-0.32': 0, '0.32-0.36': 0, '0.36-0.40': 0, '0.40-0.44': 0, '0.44-0.49': 0, '0.49-0.53': 0, '0.53-0.57': 0, '0.57-0.61': 0, '0.61-0.65': 0, '0.65-0.69': 0, '0.69-0.74': 1, '0.74-0.78': 0, '0.78-0.82': 0, '0.82-0.86': 0, '0.86-0.90': 0, '0.90-0.94': 0, '0.94-0.99': 0, '0.99-1.03': 0, '1.03-1.07': 0, '1.07-1.11': 0, '1.11-1.15': 0, '1.15-1.19': 0}",0.0,4.0,1.0,0.0,1.0,0.6,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,1.0,1.0,nan,nan,0.9623477426642331,0.2620277003962805,7.249925536717988,1.3862943611198906,3.1916305154261138,1.2333385692845686,0.0,436.20476576022196,0.4616171824821088,0.0,0.0
6,9,3.4480268109295333,1.9182958340544896,"{1.0: 0.20588235294117646, 4.0: 0.4411764705882353, 6.0: 0.14705882352941177, 11.0: 0.20588235294117646}","{'64.00-66.25': 2, '66.25-68.50': 0, '68.50-70.75': 0, '70.75-73.00': 4}",69.66666666666667,71,4,1.0,0,"{4: 1.0, 11: 2.0, 6: 1.0, 1: 2.0}",0.7070131719473114,0.6464118585476193,3.640054944640259,"[0, 2, 0, -7, -2]",7,2.2,0,1.9219280948873623,"{-7.0: 0.2631578947368421, -2.0: 0.2631578947368421, 0.0: 0.3684210526315789, 2.0: 0.10526315789473684}",-0.2,0.7483314773547883,2.0,2.0,"{'-7.00--6.00': 1, '-6.00--5.00': 0, '-5.00--4.00': 0, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 1, '-1.00-0.00': 0, '0.00-1.00': 2, '1.00-2.00': 1}",0.0,0.2,4,0.4,3.834338070319309,-0.8442124577757193,0.1746031746031746,-1,5.386666666666668,4.959230274173675,1.0,ddaa,100,1.25,0.5,0.5833333333333334,0.42491829279939874,3,3.5,1.7142857142857142,1.4591479170272448,6,0.4,0.1224744871391589,1.125,0.5448623679425842,0.0,0.7071067811865476,0.25,"{'0.25-0.38': 2, '0.38-0.50': 3}","{'0.25-0.67': 5, '0.67-1.08': 0, '1.08-1.50': 1}",0.6949210213556691,1.2125094197437825,0.08482275491584215,4.584962500721156,11,1,3.9586100194075506e-11,2,2,0.3333333333333333,0.3333333333333333,"{'0.19-0.24': 0, '0.24-0.28': 0, '0.28-0.32': 0, '0.32-0.36': 0, '0.36-0.40': 0, '0.40-0.44': 0, '0.44-0.49': 0, '0.49-0.53': 0, '0.53-0.57': 0, '0.57-0.61': 0, '0.61-0.65': 0, '0.65-0.69': 0, '0.69-0.74': 1, '0.74-0.78': 0, '0.78-0.82': 0, '0.82-0.86': 0, '0.86-0.90': 0, '0.90-0.94': 0, '0.94-0.99': 0, '0.99-1.03': 0, '1.03-1.07': 0, '1.07-1.11': 0, '1.11-1.15': 0, '1.15-1.19': 0}",0.0,4.0,1.0,0.0,1.0,0.6,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,1.0,1.0,nan,nan,0.9623477426642331,0.2620277003962805,7.249925536717988,1.3862943611198906,3.1916305154261138,1.2333385692845686,0.0,436.20476576022196,0.4616171824821088,0.0,0.0
7,12,3.8908725099762504,1.7924812503605778,"{2.0: 0.5, 4.0: 0.14705882352941177, 9.0: 0.3529411764705882}","{'62.00-65.00': 2, '65.00-68.00': 0, '68.00-71.00': 3, '71.00-74.00': 1}",67.83333333333333,69,4,2.0,1,"{2: 2.0, 9: 3.0, 4: 1.0}",-1.4999999999999998,1.1520696383139375,2.943920288775949,"[0, 5, -5, -5, -2]",5,3.4,-5,1.9219280948873623,"{-5.0: 0.3684210526315789, -2.0: 0.2631578947368421, 0.0: 0.2631578947368421, 5.0: 0.10526315789473684}",-0.4,0.7999999999999999,5.0,5.0,"{'-5.00--4.00': 2, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 1, '-1.00-0.00': 0, '0.00-1.00': 1, '1.00-2.00': 0, '2.00-3.00': 0, '3.00-4.00': 0, '4.00-5.00': 1}",0.0,0.0,4,0.4,3.9339952159827294,-0.8399195638349736,0.2698412698412698,-1,8.426666666666666,8.176028289853896,1.0,eeaa,100,1.25,0.5,0.5833333333333334,0.42491829279939874,3,3.5,1.7142857142857142,1.4591479170272448,6,0.4,0.1224744871391589,1.125,0.5448623679425842,0.0,0.7071067811865476,0.25,"{'0.25-0.38': 2, '0.38-0.50': 3}","{'0.25-0.67': 5, '0.67-1.08': 0, '1.08-1.50': 1}",0.7941508632859706,1.0617227084292953,0.10466058075208472,4.584962500721156,9,1,3.533987931049223e-06,2,2,0.3333333333333333,0.3333333333333333,"{'0.29-0.34': 0, '0.34-0.38': 0, '0.38-0.42': 0, '0.42-0.46': 0, '0.46-0.50': 0, '0.50-0.54': 0, '0.54-0.59': 0, '0.59-0.63': 0, '0.63-0.67': 0, '0.67-0.71': 0, '0.71-0.75': 0, '0.75-0.79': 0, '0.79-0.84': 1, '0.84-0.88': 0, '0.88-0.92': 0, '0.92-0.96': 0, '0.96-1.00': 0, '1.00-1.04': 0, '1.04-1.09': 0, '1.09-1.13': 0, '1.13-1.17': 0, '1.17-1.21': 0, '1.21-1.25': 0, '1.25-1.29': 0}",1.0,4.0,1.0,0.0,1.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1.0,1.0,nan,nan,0.9902181527031528,0.2608780947149527,6.063785208687608,1.3862943611198906,3.0118470452655672,1.6038104239129836,0.0,283.72485139460446,0.3096712298318559,0.0,0.0
8,12,3.8908725099762504,1.7924812503605778,"{3.0: 0.5, 5.0: 0.14705882352941177, 10.0: 0.3529411764705882}","{'63.00-66.00': 2, '66.00-69.00': 0, '69.00-72.00': 3, '72.00-75.00': 1}",68.83333333333333,70,4,2.0,1,"{3: 2.0, 10: 3.0, 5: 1.0}",-1.4999999999999998,1.1520696383139375,2.943920288775949,"[0, 5, -5, -5, -2]",5,3.4,-5,1.9219280948873623,"{-5.0: 0.3684210526315789, -2.0: 0.2631578947368421, 0.0: 0.2631578947368421, 5.0: 0.10526315789473684}",-0.4,0.7999999999999999,5.0,5.0,"{'-5.00--4.00': 2, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 1, '-1.00-0.00': 0, '0.00-1.00': 1, '1.00-2.00': 0, '2.00-3.00': 0, '3.00-4.00': 0, '4.00-5.00': 1}",0.0,0.0,4,0.4,3.9339952159827294,-0.8399195638349736,0.2698412698412698,-1,8.426666666666666,8.176028289853896,1.0,eeaa,100,1.25,0.5,0.5833333333333334,0.42491829279939874,3,3.5,1.7142857142857142,1.4591479170272448,6,0.4,0.1224744871391589,1.125,0.5448623679425842,0.0,0.7071067811865476,0.25,"{'0.25-0.38': 2, '0.38-0.50': 3}","{'0.25-0.67': 5, '0.67-1.08': 0, '1.08-1.50': 1}",0.7941508632859705,1.061722708429295,0.1046605807520847,4.584962500721156,10,1,3.705241222047698e-12,2,2,0.3333333333333333,0.3333333333333333,"{'0.29-0.34': 0, '0.34-0.38': 0, '0.38-0.42': 0, '0.42-0.46': 0, '0.46-0.50': 0, '0.50-0.54': 0, '0.54-0.59': 0, '0.59-0.63': 0, '0.63-0.67': 0, '0.67-0.71': 0, '0.71-0.75': 0, '0.75-0.79': 0, '0.79-0.84': 1, '0.84-0.88': 0, '0.88-0.92': 0, '0.92-0.96': 0, '0.96-1.00': 0, '1.00-1.04': 0, '1.04-1.09': 0, '1.09-1.13': 0, '1.13-1.17': 0, '1.17-1.21': 0, '1.21-1.25': 0, '1.25-1.29': 0}",1.0,4.0,1.0,0.0,1.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1.0,1.0,nan,nan,0.9902181527031528,0.2608780947149527,6.063785208687608,1.3862943611198906,3.0118470452655672,1.6038104239129836,0.0,283.72485139460446,0.3096712298318559,0.0,0.0
9,12,3.8908725099762504,1.7924812503605778,"{4.0: 0.5, 6.0: 0.14705882352941177, 11.0: 0.3529411764705882}","{'64.00-67.00': 2, '67.00-70.00': 0, '70.00-73.00': 3, '73.00-76.00': 1}",69.83333333333333,71,4,2.0,1,"{4: 2.0, 11: 3.0, 6: 1.0}",-1.4999999999999998,1.1520696383139375,2.943920288775949,"[0, 5, -5, -5, -2]",5,3.4,-5,1.9219280948873623,"{-5.0: 0.3684210526315789, -2.0: 0.2631578947368421, 0.0: 0.2631578947368421, 5.0: 0.10526315789473684}",-0.4,0.7999999999999999,5.0,5.0,"{'-5.00--4.00': 2, '-4.00--3.00': 0, '-3.00--2.00': 0, '-2.00--1.00': 1, '-1.00-0.00': 0, '0.00-1.00': 1, '1.00-2.00': 0, '2.00-3.00': 0, '3.00-4.00': 0, '4.00-5.00': 1}",0.0,0.0,4,0.4,3.9339952159827294,-0.8399195638349736,0.2698412698412698,-1,8.426666666666666,8.176028289853896,1.0,eeaa,100,1.25,0.5,0.5833333333333334,0.42491829279939874,3,3.5,1.7142857142857142,1.4591479170272448,6,0.4,0.1224744871391589,1.125,0.5448623679425842,0.0,0.7071067811865476,0.25,"{'0.25-0.38': 2, '0.38-0.50': 3}","{'0.25-0.67': 5, '0.67-1.08': 0, '1.08-1.50': 1}",0.7941508632859704,1.0617227084292948,0.10466058075208468,4.584962500721156,11,1,1.140485572465361e-07,2,2,0.3333333333333333,0.3333333333333333,"{'0.29-0.34': 0, '0.34-0.38': 0, '0.38-0.42': 0, '0.42-0.46': 0, '0.46-0.50': 0, '0.50-0.54': 0, '0.54-0.59': 0, '0.59-0.63': 0, '0.63-0.67': 0, '0.67-0.71': 0, '0.71-0.75': 0, '0.75-0.79': 0, '0.79-0.84': 1, '0.84-0.88': 0, '0.88-0.92': 0, '0.92-0.96': 0, '0.96-1.00': 0, '1.00-1.04': 0, '1.04-1.09': 0, '1.09-1.13': 0, '1.13-1.17': 0, '1.17-1.21': 0, '1.21-1.25': 0, '1.25-1.29': 0}",1.0,4.0,1.0,0.0,1.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1.0,1.0,nan,nan,0.9902181527031528,0.2608780947149527,6.063785208687608,1.3862943611198906,3.0118470452655672,1.6038104239129836,0.0,283.72485139460446,0.3096712298318559,0.0,0.0
10,10,3.4034296427770228,1.7924812503605778,"{0.0: 0.058823529411764705, 2.0: 0.4411764705882353, 4.0: 0.14705882352941177, 9.0: 0.3529411764705882}","{'62.00-64.50': 2, '64.50-67.00': 0, '67.00-69.50': 3, '69.50-72.00': 1}",67.5,69,4,2.0,1,"{0: 1.0, 2: 1.0, 9: 3.0, 4: 1.0}",0.983864423707125,1.0024075087289075,3.344772040064913,"[0, 3, -3, -5, -2]",5,2.6,-5,2.321928094887362,"{-5.0: 0.2631578947368421, -3.0: 0.10526315789473684, -2.0: 0.2631578947368421, 0.0: 0.2631578947368421, 3.0: 0.10526315789473684}",-0.4,0.7999999999999999,3.0,3.0,"{'-5.00--4.00': 1, '-4.00--3.00': 0, '-3.00--2.00': 1, '-2.00--1.00': 1, '-1.00-0.00': 0, '0.00-1.00': 1, '1.00-2.00': 0, '2.00-3.00': 1}",0.0,0.0,5,0.2,3.6306192976371126,-0.8739929613289007,0.20634920634920634,-1,6.4,6.0314962794004146,1.0,ddaa,100,1.25,0.5,0.5833333333333334,0.42491829279939874,3,3.5,1.7142857142857142,1.4591479170272448,6,0.4,0.1224744871391589,1.125,0.5448623679425842,0.0,0.7071067811865476,0.25,"{'0.25-0.38': 2, '0.38-0.50': 3}","{'0.25-0.67': 5, '0.67-1.08': 0, '1.08-1.50': 1}",0.8660580901598605,1.1642268451894333,0.11758486422032316,4.584962500721156,9,1,7.03193091356757e-09,2,2,0.3333333333333333,0.3333333333333333,"{'0.37-0.41': 0, '0.41-0.45': 0, '0.45-0.49': 0, '0.49-0.53': 0, '0.53-0.57': 0, '0.57-0.62': 0, '0.62-0.66': 0, '0.66-0.70': 0, '0.70-0.74': 0, '0.74-0.78': 0, '0.78-0.82': 0, '0.82-0.87': 0, '0.87-0.91': 1, '0.91-0.95': 0, '0.95-0.99': 0, '0.99-1.03': 0, '1.03-1.07': 0, '1.07-1.12': 0, '1.12-1.16': 0, '1.16-1.20': 0, '1.20-1.24': 0, '1.24-1.28': 0, '1.28-1.32': 0, '1.32-1.37': 0}",1.0,4.0,1.0,0.0,1.0,0.6,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1.0,1.0,nan,nan,0.9935600914889136,0.24604700435516144,6.493753839851686,1.3862943611198906,3.4152466554599097,1.5996952353725824,0.0,295.708299723275,0.32048847862801944,0.0,0.0
