number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_dropout_3,params_dropout_4,params_dropout_5,params_hidden_0,params_hidden_1,params_hidden_2,params_hidden_3,params_hidden_4,params_learning_rate,params_n_layers,params_weight_decay,state
0,0.6436358582346463,2025-04-01 11:03:44.167462,2025-04-01 11:03:58.921680,0 days 00:00:14.754218,384,0.1624074561769746,0.16239780813448107,0.12323344486727979,0.4464704583099741,,,512,384,320.0,,,0.0015930522616241021,3,1.1527987128232396e-05,COMPLETE
1,0.3074082734916528,2025-04-01 11:03:58.922027,2025-04-01 11:04:10.883981,0 days 00:00:11.961954,256,0.30990257265289517,0.2727780074568463,0.21649165607921678,0.3447411578889518,0.15579754426081674,0.21685785941408728,448,128,96.0,96.0,160.0,0.0005404103854647331,5,0.0022673986523780395,COMPLETE
2,-0.7602348189506596,2025-04-01 11:04:10.884382,2025-04-01 11:04:22.566682,0 days 00:00:11.682300,512,0.1185801650879991,0.34301794076057535,0.16820964947491662,,,,288,320,,,,0.00013492834268013249,2,0.00788671412999049,COMPLETE
3,0.2911211222792992,2025-04-01 11:04:22.567011,2025-04-01 11:04:36.917486,0 days 00:00:14.350475,288,0.2980707640445081,0.11375540844608736,0.46372816083151286,0.20351199264000677,0.36500891374159283,0.2246844304357644,160,64,352.0,256.0,64.0,0.001096821720752952,5,3.585612610345396e-05,COMPLETE
4,0.6082064620979701,2025-04-01 11:04:36.918676,2025-04-01 11:04:52.750734,0 days 00:00:15.832058,192,0.1353970008207678,0.1783931449676581,0.11809091556421523,0.23013213230530574,0.2554709158757928,0.20853961270955837,416,512,480.0,320.0,480.0,0.004544383960336018,5,6.963114377829287e-05,COMPLETE
5,0.03075718388941262,2025-04-01 11:04:52.751303,2025-04-01 11:05:04.883941,0 days 00:00:12.132638,416,0.40889790771866297,0.17948627261366898,0.10220884684944097,0.42618457138193366,0.38274293753904687,,96,416,64.0,512.0,,0.0028708753481954683,4,1.6677615430197892e-05,PRUNED
6,-2.729416588042459,2025-04-01 11:05:04.884386,2025-04-01 11:05:16.435305,0 days 00:00:11.550919,352,0.23235920994105969,0.12542334011440945,0.2243929286862649,0.23007332881069884,,,64,448,320.0,,,0.002878805718308925,3,0.0045881565491609705,PRUNED
7,0.5428149958043746,2025-04-01 11:05:16.435566,2025-04-01 11:05:31.562256,0 days 00:00:15.126690,32,0.3245108790277985,0.40838687198182444,0.2975182385457563,0.3090931317527976,,,64,384,416.0,,,0.0007162786999897341,3,2.1070472806578224e-05,COMPLETE
8,-5.055221965008799,2025-04-01 11:05:31.563152,2025-04-01 11:05:42.827058,0 days 00:00:11.263906,416,0.3034282764658811,0.46302658957043724,0.19971689165954998,,,,352,192,,,,0.000661859559718348,2,4.857295179217165e-05,PRUNED
9,-27.794479714430818,2025-04-01 11:05:42.827252,2025-04-01 11:05:54.195601,0 days 00:00:11.368349,416,0.47187906093702925,0.4232481518257668,0.35336150260416943,,,,160,96,,,,0.005532496914298506,2,3.6283583803549155e-05,PRUNED
10,0.42217660915517996,2025-04-01 11:05:54.195975,2025-04-01 11:06:06.863871,0 days 00:00:12.667896,96,0.1849812384706739,0.26499876258765737,0.33457527448253205,0.4877550565296076,0.496945066184135,,480,256,192.0,32.0,,0.00017298149025505048,4,0.00032347462973608503,COMPLETE
11,-21.112805411897742,2025-04-01 11:06:06.864379,2025-04-01 11:06:18.800204,0 days 00:00:11.935825,192,0.10330160208038601,0.21611071494178172,0.12663950661860274,0.11046407727940255,0.18863202611062121,,512,512,512.0,416.0,,0.007157738276017773,4,0.0001640570340432085,PRUNED
12,0.7013953501314789,2025-04-01 11:06:18.800844,2025-04-01 11:06:32.577338,0 days 00:00:13.776494,160,0.19359458939163493,0.18403135621401506,0.25960899495625317,0.3904918238895607,,,384,512,512.0,,,0.0023793537960598537,3,0.00013953424160590127,COMPLETE
13,0.7000196861580985,2025-04-01 11:06:32.577873,2025-04-01 11:06:45.101445,0 days 00:00:12.523572,128,0.20780997053173675,0.20947081861320427,0.2771075096583004,0.39646127647197915,,,384,352,224.0,,,0.0016881947034719528,3,0.0003430189608266592,COMPLETE
14,-5.478086840902213,2025-04-01 11:06:45.101830,2025-04-01 11:06:56.385117,0 days 00:00:11.283287,128,0.22249770291992205,0.3330043528976134,0.2640642142931504,0.38113368443889184,,,352,288,192.0,,,0.00032259433347725346,3,0.0007726556738189395,PRUNED
15,0.7418277031762792,2025-04-01 11:06:56.385328,2025-04-01 11:07:11.993386,0 days 00:00:15.608058,32,0.237149383196761,0.2579507605535839,0.4117772967102288,0.38916232878005463,,,384,448,192.0,,,0.0017904319826816592,3,0.0004968754634511664,COMPLETE
16,0.7228743940897374,2025-04-01 11:07:11.993933,2025-04-01 11:07:27.747683,0 days 00:00:15.753750,32,0.24367094046487792,0.27544041003583947,0.430746924386335,0.3321636783846984,0.471660547299054,,288,480,128.0,192.0,,0.0026406530713449497,4,0.00013752501042526178,COMPLETE
17,0.7014962615044997,2025-04-01 11:07:27.748114,2025-04-01 11:07:43.263849,0 days 00:00:15.515735,32,0.26726163291282967,0.3296354774988267,0.4502286323043932,0.2930739000610968,0.49849015376209815,,288,448,128.0,160.0,,0.004043123035529452,4,0.0009576678837640909,COMPLETE
18,0.5097822699027599,2025-04-01 11:07:43.264348,2025-04-01 11:07:55.126954,0 days 00:00:11.862606,64,0.4171979198143886,0.2559413385968186,0.409621513988075,0.3124689051264062,0.3932378988715296,,192,224,32.0,224.0,,0.008351302863963867,4,0.0009470421819020967,PRUNED
