number,value,datetime_start,datetime_complete,duration,params_dropout_0,params_dropout_1,params_dropout_2,params_hidden_0,params_hidden_1,params_learning_rate,params_weight_decay,state
0,0.7377636931549638,2025-04-01 11:24:25.801315,2025-04-01 11:24:42.854253,0 days 00:00:17.052938,0.288398788362281,0.18740413869276734,0.33289169080760245,397,384,0.0028056048181958064,4.6497233209691845e-05,COMPLETE
1,0.7251167194400858,2025-04-01 11:24:42.856002,2025-04-01 11:24:56.308986,0 days 00:00:13.452984,0.2836145155592091,0.10300533616718716,0.4940421507280749,493,352,0.007166198739575095,5.7583515511902454e-05,COMPLETE
2,0.7376366379405459,2025-04-01 11:24:56.309631,2025-04-01 11:25:09.212319,0 days 00:00:12.902688,0.20284844859190754,0.17661443901830673,0.38752511369113896,365,256,0.003384120764900466,0.00010019116826742875,COMPLETE
3,0.7359844706642392,2025-04-01 11:25:09.212943,2025-04-01 11:25:22.431001,0 days 00:00:13.218058,0.21527236865873833,0.16658621769568724,0.4574648403558167,333,288,0.002980739581848967,8.750991736020461e-05,COMPLETE
4,0.7456298614455308,2025-04-01 11:25:22.431682,2025-04-01 11:25:35.466737,0 days 00:00:13.035055,0.26350897038028764,0.12489652205834456,0.3148802154110854,429,256,0.008421597043780843,0.0001636159753601489,COMPLETE
5,0.6526399952875677,2025-04-01 11:25:35.467488,2025-04-01 11:25:47.557097,0 days 00:00:12.089609,0.16153442280127675,0.1998980218707749,0.3891501937604411,461,288,0.002676595711315091,8.522823572690084e-05,PRUNED
6,0.4543849204342326,2025-04-01 11:25:47.557695,2025-04-01 11:25:59.019422,0 days 00:00:11.461727,0.19375599632000337,0.19672825351568138,0.3637187930657034,333,384,0.004647512724074495,9.153974077083563e-05,PRUNED
7,0.4487069881730992,2025-04-01 11:25:59.020229,2025-04-01 11:26:10.593523,0 days 00:00:11.573294,0.2970265646722229,0.2371668454683716,0.47917581538467446,365,384,0.00517702300924803,0.00015398587533575552,PRUNED
8,0.7477636552356661,2025-04-01 11:26:10.594058,2025-04-01 11:26:23.485293,0 days 00:00:12.891235,0.1510454577821076,0.1474982282914366,0.3789581033585175,333,256,0.003292128927492137,0.00013533402228815437,COMPLETE
9,0.4255115428784446,2025-04-01 11:26:23.486016,2025-04-01 11:26:34.666784,0 days 00:00:11.180768,0.2505392166316497,0.12057493684631534,0.46083500218929985,397,288,0.0025060653918193313,0.00016850874055990503,PRUNED
